amount,id2,id,hanke_name,teema,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Kohderyhma2,Lookup_Hanketyyppi,Lookup_Kieli,lkm,Lookup_Vaikutusalue,AVI-aluealkup
45000,831,1220,Uusi kirjastokonsepti Tampereen yliopistolliseen sairaalaan ,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Tampereen kaupunginkirjasto - Pirkanmaan maakuntakirjasto,Länsi- ja Sisä-Suomi,Tampere,hankkeet.kirjastot.fi/node/405,2012,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,maakunta	,Pohjanmaan
80000,341,491,"Kirjastosta juuret elämään, jatkohanke",Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Turun kaupunginkirjasto,Lounais-Suomi,Turku,hankkeet.kirjastot.fi/node/1940,2014,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,ylimaakunnallinen	,Lounais-Suomen
85000,340,490,Kirjastosta juuret elämään,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Turun kaupunginkirjasto,Lounais-Suomi,Turku,hankkeet.kirjastot.fi/node/288,2012,Erityisryhmät,Erityisryhmät,ELY,suomenkielinen,1,ylimaakunnallinen	,Varsinais-Suomen
15000,2,3,Verkkoa ja virikkeitä varttuneille,Mediakasvatus,Mediakasvatus,Varsinais-Suomi,Pöytyän kirjasto,Lounais-Suomi,Pöytyä,hankkeet.kirjastot.fi/node/1169,2013,"Erityisryhmät, Ikääntyneet","Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
35000,268,381,Kirjasto  tervehdyttää,Palvelujen kehittäminen,Palvelujen kehittäminen,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/730,2012,"Erityisryhmät, Ikääntyneet","Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
2500,147,210,Historia keskuudessamme - yksityistä ja yhteistä elämää,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Pirkanmaa,Akaan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Akaa,hankkeet.kirjastot.fi/node/2233,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
5000,727,1067,Seniorit täppää ja läppää nuorten kanssa - vertaisoppimistakirjastossa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Kirjasto Omena,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1027,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan
4000,517,762,Matkoja maailmassa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Entressen kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1004,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan
30000,158,224,Ikä ei ole este ,Palvelujen kehittäminen,Palvelujen kehittäminen,Kanta-Häme,Forssan kaupunginkirjasto,Etelä-Suomi,Forssa,hankkeet.kirjastot.fi/node/1170,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,seutukunnat	,Uudenmaan
0,173,244,Intoa elämään - ikäihmisten kirjastohanke  ,Palvelujen kehittäminen,Palvelujen kehittäminen,Kanta-Häme,Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto,Etelä-Suomi,Hämeenlinna,hankkeet.kirjastot.fi/node/1338,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan
1200,161,227,Ikäihmisten iloksi ja hyödyksi,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Satakunta,Harjavallan kaupunginkirjasto,Lounais-Suomi,Harjavalta,hankkeet.kirjastot.fi/node/373,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Varsinais-Suomen
14000,799,1167,Tietotekniikkaa senioreille,Mediakasvatus,Mediakasvatus,Päijät-Häme,Heinolan kaupunginkirjasto,Etelä-Suomi,Heinola,hankkeet.kirjastot.fi/node/2102,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Etelä-Suomen
7500,782,1146,Tiedon sillat Huittisten alueen kirjastoissa,Mediakasvatus,Mediakasvatus,Satakunta,Huittisten kaupunginkirjasto,Lounais-Suomi,Huittinen,hankkeet.kirjastot.fi/node/517,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Varsinais-Suomen
3500,181,253,Jaetut muistot -projekti,Lukemisen edistäminen,Lukemisen edistäminen,Uusimaa,Hyvinkään kaupunginkirjasto,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/999,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan
3500,163,229,Ikinuorten iltapäivät,Palvelujen kehittäminen,Palvelujen kehittäminen,Uusimaa,Hyvinkään kaupunginkirjasto,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/232,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan ELY-keskus
49000,873,1280,VIRTA - Kirjastosta ja kulttuurista elämyksiä ja elinvoimaa vanhuksille,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/1244,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Savon
27500,413,605,Lainaa ja lue! Kirjastopalvelua ikäihmisten huviksi ja hyödyksi,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Karjala,Juuan kunnankirjasto,Itä-Suomi,Juuka,hankkeet.kirjastot.fi/node/334,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Savon
2000,533,786,Mennyt maailma matkalaukussa,Lukemisen edistäminen,Lukemisen edistäminen,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/1862,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Lounais-Suomen
3000,162,228,Ikäihmisten kulttuurikerhon toiminnan kehittäminen,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/402,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
2000,215,304,Käpylehmästä Iki ihanaan - kirjallisuutta ikäihmisten iloksi,Lukemisen edistäminen,Lukemisen edistäminen,Kainuu,Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto,Pohjois-Suomi,Kajaani,hankkeet.kirjastot.fi/node/1111,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Pohjois-Pohjanmaan
13000,690,1010,Sähköinen ikääntyminen,Verkkopalvelut,Verkkopalvelut,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/1897,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Itä-Suomen
2000,394,580,Kulttuurilla pitkään ikään,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Etelä-Pohjanmaa,Kauhajoen kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kauhajoki,hankkeet.kirjastot.fi/node/1977,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
2000,134,190,Hakeutuvat palvelut ikäihmisille,Palvelujen kehittäminen,Palvelujen kehittäminen,Lappi,Kemijärven kaupunginkirjasto,Lappi,Kemijärvi,hankkeet.kirjastot.fi/node/1176,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Lapin
7000,160,226,Ikäihmiset ja tietotekniikka,Laitehankinnat,Laitehankinnat,Lappi,Kemijärven kaupunginkirjasto,Lappi,Kemijärvi,hankkeet.kirjastot.fi/node/2015,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Lapin
10000,232,332,Kempeleen seniorikirjasto,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Kempeleen kirjasto,Pohjois-Suomi,Kempele,hankkeet.kirjastot.fi/node/421,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
5000,331,476,Kirjastopalveluja ikäihmisille,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Savo,Kiuruveden kaupunginkirjasto,Itä-Suomi,Kiuruvesi,hankkeet.kirjastot.fi/node/2295,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Itä-Suomen
4000,729,1069,Senioriviikko kirjastossa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Kainuu,Kuhmon kaupunginkirjasto,Pohjois-Suomi,Kuhmo,hankkeet.kirjastot.fi/node/510,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
4500,728,1068,Senioritoimintaa kirjastossa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Etelä-Pohjanmaa,Kurikan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kurikka,hankkeet.kirjastot.fi/node/1122,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjanmaan
5000,378,551,Kotipalvelu vireäksi,Palvelujen kehittäminen,Palvelujen kehittäminen,Etelä-Savo,Mäntyharjun kunnankirjasto,Itä-Suomi,Mäntyharju,hankkeet.kirjastot.fi/node/2056,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Itä-Suomen
4500,866,1269,Viikoksi virikkeitä vanhuksille,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto,Itä-Suomi,Mikkeli,hankkeet.kirjastot.fi/node/662,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Savon
1000,159,225,Ikääntyvien kirjastopalvelut kuntoon,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Ruoveden kunnankirjasto,Länsi- ja Sisä-Suomi,Ruovesi,hankkeet.kirjastot.fi/node/1404,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjanmaan
7900,280,403,Kirjasto keskellä kylää,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Lappi,Sallan kunnankirjasto,Lappi,Salla,hankkeet.kirjastot.fi/node/722,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Lapin
8000,339,489,Kirjastosta iloa arkeen ikäihmisille,Palvelujen kehittäminen,Palvelujen kehittäminen,Etelä-Pohjanmaa,Seinäjoen kaupunginkirjasto/ Ylistaron kirjasto,Länsi- ja Sisä-Suomi,Seinäjoki,hankkeet.kirjastot.fi/node/533,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Pohjanmaan
8000,650,952,Pitkospuita pitkin -tarinoita senioreille.,Palvelujen kehittäminen,Palvelujen kehittäminen,Kainuu,Suomussalmen kunnankirjasto,Pohjois-Suomi,Suomussalmi,hankkeet.kirjastot.fi/node/2224,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Pohjois-Suomen
8000,603,879,"Oi, muistatkos Emma sen tapahtumatuokion, jonka kirjasto järjesti?",Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Pohjois-Karjala,Tohmajärven kunnankirjasto,Itä-Suomi,Tohmajärvi,hankkeet.kirjastot.fi/node/2182,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Itä-Suomen
18500,324,467,Kirjaston seniorityöllä virikkeitä vanhuksille - hanke,Palvelujen kehittäminen,Palvelujen kehittäminen,Lappi,Tornion kaupunginkirjasto,Lappi,Tornio,hankkeet.kirjastot.fi/node/1961,2013,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Lapin
6000,96,135,Ei kultainen nuoruus jää unholaan,Palvelujen kehittäminen,Palvelujen kehittäminen,Varsinais-Suomi,Uudenkaupungin kaupunginkirjasto,Lounais-Suomi,Uusikaupunki,hankkeet.kirjastot.fi/node/1803,2014,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Lounais-Suomen
10000,563,827,Muistellen,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Vantaan kirjasto- ja tietopalvelut,Etelä-Suomi,Vantaa,hankkeet.kirjastot.fi/node/454,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Uudenmaan ELY-keskus
1200,615,896,Operaatio yhdessä Kirjakassin kanssa,Palvelujen kehittäminen,Palvelujen kehittäminen,Varsinais-Suomi,Vehmaan kunnankirjasto,Lounais-Suomi,Vehmaa,hankkeet.kirjastot.fi/node/457,2012,Ikääntyneet,Ikääntyneet,ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
2000,166,232,Iloa ikäihmisille Kihniössä,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Kihniön kunnankirjasto,Länsi- ja Sisä-Suomi,Kihniö,hankkeet.kirjastot.fi/node/1915,2014,"Ikääntyneet, Erityisryhmät","Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
1300,278,400,Kirjasto jalkautuu kuuluvasti,Laitehankinnat,Laitehankinnat,Lappi,Kittilän kunnankirjasto,Lappi,Kittilä,hankkeet.kirjastot.fi/node/1992,2014,"Ikääntyneet, Erityisryhmät","Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,1,kunnat,Lapin
3000,167,234,Iloa ikäihmisille Parkanossa,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Parkanon kaupunginkirjasto,Länsi- ja Sisä-Suomi,Parkano,hankkeet.kirjastot.fi/node/1984,2014,"Ikääntyneet, Erityisryhmät","Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
15000,348,501,Kirjava,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Pohjois-Savo,Vesannon kunnankirjasto,Itä-Suomi,Vesanto,hankkeet.kirjastot.fi/node/2005,2014,"Ikääntyneet, Erityisryhmät","Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,1,kunnat,Itä-Suomen
9000,297,427,Kirjasto viivähtää vierellä - kuntoon katsomatta VIIVI,Palvelujen kehittäminen,Palvelujen kehittäminen,Keski-Pohjanmaa,Vetelin kunnankirjasto,Länsi- ja Sisä-Suomi,Veteli,hankkeet.kirjastot.fi/node/2186,2014,"Ikääntyneet, Erityisryhmät","Ikääntyneet, Erityisryhmät",ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Länsi- ja Sisä-Suomen
9500,758,1112,Tammien tarinat : Nurmeksen metsätalouteen liittyvää muistitietoa talteen tarinoita kertomalla,Digitointi,Digitointi,Pohjois-Karjala,Nurmeksen kaupunginkirjasto,Itä-Suomi,Nurmes,hankkeet.kirjastot.fi/node/1517,2013,"Ikääntyneet, Kirjaston asiakkaat","Ikääntyneet, Kirjaston asiakkaat",ELY,suomenkielinen,1,kunnat,Pohjois-Savon
10000,106,147,Elämyksiä palvelukotiin,Palvelujen kehittäminen,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Rantsilan kirjasto,Pohjois-Suomi,Siikalatva,hankkeet.kirjastot.fi/node/1291,2013,"Ikääntyneet, Kirjaston henkilökunta","Ikääntyneet, Kirjaston henkilökunta",ELY,suomenkielinen,1,seutukunnat	,Pohjois-Pohjanmaan
18000,726,1065,Seniorien netti,Verkkopalvelut,Verkkopalvelut,Uusimaa,Mäntsälän kirjasto,Etelä-Suomi,Mäntsälä,hankkeet.kirjastot.fi/node/1401,2013,"Ikääntyneet, Sidosryhmät","Ikääntyneet, Sidosryhmät",ELY,suomenkielinen,1,kunnat,Uudenmaan
6000,202,286,Kaikki Kansa Kirjastoon,Laitehankinnat,Laitehankinnat,Etelä-Pohjanmaa,ähtärin kaupunginkirjasto,Länsi- ja Sisä-Suomi,ähtäri,hankkeet.kirjastot.fi/node/1471,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Pohjanmaan
2500,518,763,Mediakasvatuksen ja kirjastonkäytön opetuksen laitteet ajan tasalle,Laitehankinnat,Laitehankinnat,Pirkanmaa,Akaan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Akaa,hankkeet.kirjastot.fi/node/2167,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Länsi- ja Sisä-Suomen
40000,179,251,Itsepalvelukirjasto,Palvelujen kehittäminen,Palvelujen kehittäminen,Etelä-Pohjanmaa,Alajärven kaupunki/Alajärven kaupunginkirjasto,Länsi- ja Sisä-Suomi,Alajärvi,hankkeet.kirjastot.fi/node/2205,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Länsi- ja Sisä-Suomen
5000,398,585,Kuntalaiset digitoimaan!,Digitointi,Digitointi,Etelä-Pohjanmaa,"Alajärven kaupunki/Järvi-Pohjanmaan kirjastot: Alajärvi,Soini,Vimpeli",Länsi- ja Sisä-Suomi,Alajärvi,hankkeet.kirjastot.fi/node/2030,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
5000,692,1013,Sähköiset laitteet lisäävät käyttäjäystävällisyyttä,Laitehankinnat,Laitehankinnat,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/1052,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
5000,102,143,Elämyksiä kirjaston kulmilla ja etäämmälläkin lukemisen ja mediatoiminnan edistämiseksi,Lukemisen edistäminen,Lukemisen edistäminen,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/1812,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjois-Suomen
0,416,610,Laitteilla laatua ja monipuolisuiutta kirjastopalveluihin,Laitehankinnat,Laitehankinnat,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/2204,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjois-Suomen
1000,291,419,Kirjasto osana ihmisten elämässä,Tilasuunnittelu,Tilasuunnittelu,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/368,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
5000,244,348,Kirjailija innoittaa ja elävöittää kirjastopalveluja ,Lukemisen edistäminen,Lukemisen edistäminen,Pohjois-Pohjanmaa,Alavieskan kunnankirjasto,Pohjois-Suomi,Alavieska,hankkeet.kirjastot.fi/node/973,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,Hyvä,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
6000,789,1154,Tiedotusta ja tekniikkaa tehokkaasti,Laitehankinnat,Laitehankinnat,Etelä-Pohjanmaa,Alavuden kaupunginkirjasto,Länsi- ja Sisä-Suomi,Alavus,hankkeet.kirjastot.fi/node/1526,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjanmaan
3500,605,881,OIVA minuuttiruno,Palvelujen kehittäminen,Palvelujen kehittäminen,Etelä-Pohjanmaa,Alavuden kaupunginkirjasto,Länsi- ja Sisä-Suomi,Alavus,hankkeet.kirjastot.fi/node/1514,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,seutukunnat	,Pohjanmaan 
3000,604,880,OIVA kuntalukukisa,Lukemisen edistäminen,Lukemisen edistäminen,Etelä-Pohjanmaa,Alavuden kaupunginkirjasto,Länsi- ja Sisä-Suomi,Alavus,hankkeet.kirjastot.fi/node/624,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,seutukunnat	,Pohjanmaan
0,329,474,Kirjastopalvelua Asikkalan sivukylille,Palvelujen kehittäminen,Palvelujen kehittäminen,Päijät-Häme,Asikkalan kirjasto,Etelä-Suomi,Asikkala,hankkeet.kirjastot.fi/node/525,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan ELY-keskus
4000,775,1139,"Tekniikkaa kirjastoon, aikaa asiakkaille",Laitehankinnat,Laitehankinnat,Päijät-Häme,Asikkalan kirjasto,Etelä-Suomi,Asikkala,hankkeet.kirjastot.fi/node/516,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,seutukunnat	,Uudenmaan ELY-keskus
2500,245,349,Kirjailija ja lukija,Lukemisen edistäminen,Lukemisen edistäminen,Uusimaa,Askolan kunnankirjasto,Etelä-Suomi,Askola,hankkeet.kirjastot.fi/node/2199,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Etelä-Suomen
0,738,1082,Storfjord mukaan ja hallinto(ko) Hettaan,Palvelujen kehittäminen,Palvelujen kehittäminen,Lappi,Enontekiön kunnankirjasto,Lappi,Enontekiö,hankkeet.kirjastot.fi/node/1779,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Lapin
0,508,748,Maailmaa ristiin rastiin: tapahtumasarja Espoon aluekirjastoissa,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1103,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan
4000,877,1284,Vuodenkierto & erilaiset juhlaperinteet -tapahtumasarja Espoon aluekirjastoissa     ,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/2086,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Etelä-Suomen
5000,809,1184,Tulevaisuuden kirjastoauto lapsille - iloa ja elämyksiä uudenlaisilla innovaatioilla,Palvelujen kehittäminen,Palvelujen kehittäminen,Uusimaa,Espoon kaupunginkirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/587,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnan- tai kaupunginosat	,Uudenmaan ELY-keskus
0,780,1144,Tiedä paikkasi - lokaatiopalvelu HelMet kirjastossa,Verkkopalvelut,Verkkopalvelut,Uusimaa,Espoon kaupunginkirjasto - Sellon kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/575,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,seutukunnat	,Uudenmaan ELY-keskus
15000,420,615,Langattomasti lukemisen ja tiedonhaun lähteille,Laitehankinnat,Laitehankinnat,Satakunta,Euran kunnankirjasto,Lounais-Suomi,Eura,hankkeet.kirjastot.fi/node/1138,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Varsinais-Suomen
5000,95,134,Editointitila ja kiertävät laitteet,Digitointi,Digitointi,Kanta-Häme,Forssan kaupunginkirjasto,Etelä-Suomi,Forssa,hankkeet.kirjastot.fi/node/292,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Uudenmaan ELY-keskus
0,571,841,Musiikki takaisin kirjastoon,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/1446,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjanmaan
1000,262,373,Kirjan kanssa et ole koskaan yksin,Palvelujen kehittäminen,Palvelujen kehittäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/2271,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
0,146,209,Hiljaisuutta ja työrauhaa kirjastoon! - Häiriöttömän ja joustavan yksilöllisen työtilan ja rauhallisen ja muunneltavan ryhmätyöskentelytilan tarjoaminen kirjaston asiakkaille,Tilasuunnittelu,Tilasuunnittelu,Kanta-Häme,Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto,Etelä-Suomi,Hämeenlinna,hankkeet.kirjastot.fi/node/1497,2013,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Uudenmaan
0,135,191,Hämeenlinnan Aikakone,Oppimisympäristö ja yhteisöllisyys,Oppimisympäristö ja yhteisöllisyys,Kanta-Häme,Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto,Etelä-Suomi,Hämeenlinna,hankkeet.kirjastot.fi/node/775,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,valtakunnallinen	,Uudenmaan ELY-keskus
15000,219,312,"Käsi kädessä sukelletaan - ikärajatonta, yksilöllistä ohjausta sosiaaliseen mediaan, sekä tietoverkon syvällistä opetusta ",Mediakasvatus,Mediakasvatus,Pohjois-Pohjanmaa,Haapajärven kirjasto,Pohjois-Suomi,Haapajärvi,hankkeet.kirjastot.fi/node/300,2012,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Pohjois-Pohjanmaan
4500,241,344,Kiriastojen pittiverkosta paikathan Halsuan kokonen reikä.,Laitehankinnat,Laitehankinnat,Keski-Pohjanmaa,Halsuan kunnankirjasto,Länsi- ja Sisä-Suomi,Halsua,hankkeet.kirjastot.fi/node/2332,2014,Kirjaston asiakkaat,Kirjaston asiakkaat,ELY,suomenkielinen,1,kunnat,Länsi- ja Sisä-Suomen
