id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
725,1063,Seniorien kirjastoklubi,Mediakasvatus,Uusimaa,Tuusulan kunnankirjasto,Etelä-Suomi,Tuusula,hankkeet.kirjastot.fi/node/2334,2014,"Kirjaston ei-käyttäjät, Ikääntyneet",ELY,suomenkielinen,kunnan- tai kaupunginosat	,13000,1
726,1065,Seniorien netti,Verkkopalvelut,Uusimaa,Mäntsälän kirjasto,Etelä-Suomi,Mäntsälä,hankkeet.kirjastot.fi/node/1401,2013,"Ikääntyneet, Sidosryhmät",ELY,suomenkielinen,kunnat,18000,1
727,1067,Seniorit täppää ja läppää nuorten kanssa - vertaisoppimistakirjastossa,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Kirjasto Omena,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1027,2013,Ikääntyneet,ELY,suomenkielinen,kunnan- tai kaupunginosat	,5000,1
728,1068,Senioritoimintaa kirjastossa,Oppimisympäristö ja yhteisöllisyys,Etelä-Pohjanmaa,Kurikan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kurikka,hankkeet.kirjastot.fi/node/1122,2013,Ikääntyneet,ELY,suomenkielinen,kunnat,4500,1
729,1069,Senioriviikko kirjastossa,Oppimisympäristö ja yhteisöllisyys,Kainuu,Kuhmon kaupunginkirjasto,Pohjois-Suomi,Kuhmo,hankkeet.kirjastot.fi/node/510,2012,Ikääntyneet,ELY,suomenkielinen,kunnat,4000,1
730,1070,Silkkaa sarjakuvaa yläkoululaisille,Lukemisen edistäminen,Pohjois-Savo,Siilinjärven kunnankirjasto,Itä-Suomi,Siilinjärvi,hankkeet.kirjastot.fi/node/1039,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,6000,1
731,1071,Sisällöt jakoon !,Verkkopalvelut,Pohjanmaa,Vaasan kaupunginkirjasto - maakuntakirjasto,Länsi- ja Sisä-Suomi,Vaasa,hankkeet.kirjastot.fi/node/762,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,8000,1
732,1073,Sisältö elämään - 150 vuotta kirjastotoimintaa Karkkilassa,Palvelujen kehittäminen,Uusimaa,Karkkilan kaupunginkirjasto,Etelä-Suomi,Karkkila,hankkeet.kirjastot.fi/node/547,2012,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,3000,1
733,1075,Sitsit kirjastossa/Sits på bibban,Palvelujen kehittäminen,Uusimaa,Kirkkonummen kunnankirjasto,Etelä-Suomi,Kirkkonummi,hankkeet.kirjastot.fi/node/1064,2013,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
734,1077,Smartshelf Extended,Verkkopalvelut,Satakunta,Luvian kunnankirjasto,Lounais-Suomi,Luvia,hankkeet.kirjastot.fi/node/1532,2013,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,valtakunnallinen	,25000,1
735,1079,Soitto soi - musiikki ammattina ja harrastuksena,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Entressen kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/577,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
736,1080,Some-kurssi aikuisille,Mediakasvatus,Etelä-Pohjanmaa,Isojoen kirjasto,Länsi- ja Sisä-Suomi,Isojoki,hankkeet.kirjastot.fi/node/1872,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,900,1
738,1082,Storfjord mukaan ja hallinto(ko) Hettaan,Palvelujen kehittäminen,Lappi,Enontekiön kunnankirjasto,Lappi,Enontekiö,hankkeet.kirjastot.fi/node/1779,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,0,1
739,1083,Suarelaisten suakkunoita,Oppimisympäristö ja yhteisöllisyys,Pohjois-Karjala,Rääkkylän kirjasto,Itä-Suomi,Rääkkylä,hankkeet.kirjastot.fi/node/549,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,13000,1
