id2,id,hanke_name,Lookup_Teema,Lookup_Maakunta,Toteuttaja,Lookup_Aluehallintovirasto,Kunta,link,Lookup_Vuosi,Kohderyhma,Lookup_Hanketyyppi,Lookup_Kieli,Lookup_Vaikutusalue,amount,lkm
1,1,Hyvinvointia kirjastosta,Oppimisympäristö ja yhteisöllisyys,Lappi,Enontekiön kunnankirjasto,Lappi,Enontekiö,hankkeet.kirjastot.fi/node/471,2013,"Työikäinen väestö, Ikääntyneet",ELY,suomenkielinen,kunnat,0,1
2,3,Verkkoa ja virikkeitä varttuneille,Mediakasvatus,Varsinais-Suomi,Pöytyän kirjasto,Lounais-Suomi,Pöytyä,hankkeet.kirjastot.fi/node/1169,2013,"Erityisryhmät, Ikääntyneet",ELY,suomenkielinen,kunnat,15000,1
3,5,"”En löydä täältä mitään""",Tilasuunnittelu,Pohjois-Pohjanmaa,Pyhäjoen kunnankirjasto,Pohjois-Suomi,Pyhäjoki,hankkeet.kirjastot.fi/node/415,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1300,1
4,6,Författarbesök litterära program för femteklassisterna i Lukaskommunerna,Lukemisen edistäminen,Uusimaa,Raseborgs stadsbibliotek,Etelä-Suomi,Raasepori,hankkeet.kirjastot.fi/node/1230,2013,Lapset (alle 13 v.),ELY,ruotsinkielinen,seutukunnat	,8000,1
5,7,"”Ihan tyhmii runoi!"" - Nuorten näkökulmia kirjastoon",Palvelujen kehittäminen,Pirkanmaa,Kangasalan kunnankirjasto,Länsi- ja Sisä-Suomi,Kangasala,hankkeet.kirjastot.fi/node/1932,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,10000,1
6,8,"”Jo tokkiisa"" meillä on hiljainen työskentelypiste",Tilasuunnittelu,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/1781,2014,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
7,9,"”Kirjasto on OK!"" Lisää virtaa nuortenkirjastotyöhön",Palvelujen kehittäminen,Keski-Suomi,Saarijärven kaupunginkirjasto,Länsi- ja Sisä-Suomi,Saarijärvi,hankkeet.kirjastot.fi/node/2208,2014,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,4500,1
8,10,"”Minä en käy kirjastossa""",Palvelujen kehittäminen,Pirkanmaa,Hämeenkyrön kirjasto,Länsi- ja Sisä-Suomi,Hämeenkyrö,hankkeet.kirjastot.fi/node/1432,2013,Kirjaston ei-käyttäjät,ELY,suomenkielinen,kunnat,1800,1
9,11,"”Sitähän se kaikki on"" - taiteen ja tiedon ykseyttä kirjastossa",Oppimisympäristö ja yhteisöllisyys,Uusimaa,Keravan kaupunginkirjasto,Etelä-Suomi,Kerava,hankkeet.kirjastot.fi/node/1970,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,15000,1
10,13,150 vuotta kirjastotoimintaa Ruovedellä,Palvelujen kehittäminen,Pirkanmaa,Ruoveden kunnankirjasto,Länsi- ja Sisä-Suomi,Ruovesi,hankkeet.kirjastot.fi/node/1402,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4500,1
11,14,300 vuotta kulttuuria,Oppimisympäristö ja yhteisöllisyys,Pohjois-Karjala,Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto,Itä-Suomi,Joensuu,hankkeet.kirjastot.fi/node/563,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,1900,1
12,15,5K,Lukemisen edistäminen,Keski-Suomi,Kannonkosken kunnankirjasto,Länsi- ja Sisä-Suomi,Kannonkoski,hankkeet.kirjastot.fi/node/839,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,9000,1
13,16,Aakkoset kohtaavat,Lukemisen edistäminen,Pirkanmaa,Valkeakosken kaupunginkirjasto,Länsi- ja Sisä-Suomi,Valkeakoski,hankkeet.kirjastot.fi/node/727,2012,"Lapset (alle 13 v.), Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kunnat,4500,1
14,18,ÄIJÄT KIRJAN KIMPPUUN,Lukemisen edistäminen,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/1406,2013,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
15,19,Äijät lukee : miesten lukupiiri livenä ja somessa,Lukemisen edistäminen,Etelä-Pohjanmaa,Lapuan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Lapua,hankkeet.kirjastot.fi/node/1966,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,3000,1
16,20,Aineistot talteen ja käyttöön - digitointipiste Ranuan kirjastolle,Digitointi,Lappi,Ranuan kunnankirjasto,Lappi,Ranua,hankkeet.kirjastot.fi/node/1013,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,11720,1
17,21,AjanKohtaus!,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Helsingin kaupunginkirjasto,Etelä-Suomi,Helsinki,hankkeet.kirjastot.fi/node/738,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,35000,1
18,22,Ajanmukaisten tietokoneiden hankkiminen asiakaskäyttöön,Laitehankinnat,Varsinais-Suomi,Tarvasjoen kirjasto,Lounais-Suomi,Tarvasjoki,hankkeet.kirjastot.fi/node/606,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1000,1
19,23,Ajantasaista tietotekniikkaa ja mobiilia kirjavinkkausta ,Mediakasvatus,Uusimaa,Hyvinkään kaupunginkirjasto ,Etelä-Suomi,Hyvinkää,hankkeet.kirjastot.fi/node/1817,2014,"Kirjaston henkilökunta, Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,1000,1
20,25,Älä jätä kylmäksi - animoi kuvaksi,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Kirjasto Omena,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/1115,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
21,26,Alakoululaisten kirjavilmaatti,Mediakasvatus,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/1890,2014,Lapset (alle 13 v.),ELY,suomenkielinen,kunnat,4000,1
22,27,äldreomsorg på distans,Palvelujen kehittäminen,Varsinais-Suomi,Pargas stadsbibliotek,Lounais-Suomi,Parainen,hankkeet.kirjastot.fi/node/1190,2013,Ikääntyneet,ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,5500,1
24,29,Aluekirjastoista koko perheen kulttuurikeskuksia,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Oulun kaupunginkirjasto-maakuntakirjasto,Pohjois-Suomi,Oulu,hankkeet.kirjastot.fi/node/1493,2013,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,60000,1
25,31,Aluetietokannat ajan tasalle,Verkkopalvelut,Pohjois-Pohjanmaa,Oulun kaupunginkirjasto-maakuntakirjasto,Pohjois-Suomi,Oulu,hankkeet.kirjastot.fi/node/2066,2014,Kirjaston asiakkaat,ELY,suomenkielinen,valtakunnallinen	,37000,1
26,32,Älyhylly laajenee - taskuun,Verkkopalvelut,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/2305,2014,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,90000,1
27,33,Ammattina asiakas : kirjaston asiakaspalvelun arviointihanke,Palvelujen kehittäminen,Etelä-Karjala,Lappeenrannan maakuntakirjasto,Etelä-Suomi,Lappeenranta,hankkeet.kirjastot.fi/node/423,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,10000,1
28,35,Anders ja Melinda I -vaihe,Verkkopalvelut,Keski-Pohjanmaa,Kokkolan kaupunginkirjasto - maakuntakirjasto,Länsi- ja Sisä-Suomi,Kokkola,hankkeet.kirjastot.fi/node/1910,2014,Kirjaston henkilökunta,ELY,suomenkielinen,maakunta	,5000,1
29,36,Arkistotonttujen digipalvelut,Laitehankinnat,Varsinais-Suomi,Uudenkaupungin kaupunginkirjasto,Lounais-Suomi,Uusikaupunki,hankkeet.kirjastot.fi/node/935,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4000,1
30,37,Artikkelien aarteet : keskisuomalaisten aikakauslehtien digitointihanke,Digitointi,Keski-Suomi,Keuruun kaupunginkirjasto,Länsi- ja Sisä-Suomi,Keuruu,hankkeet.kirjastot.fi/node/1870,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,ylimaakunnallinen	,15000,1
31,39,Asiakaskoneet ajantasalle,Laitehankinnat,Varsinais-Suomi,Pöytyän kirjasto,Lounais-Suomi,Pöytyä,hankkeet.kirjastot.fi/node/289,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,suomenkielinen,kunnan- tai kaupunginosat	,5900,1
32,41,Asiakaspäätteet ajan tasalle,Laitehankinnat,Keski-Suomi,Hankasalmen kirjasto,Länsi- ja Sisä-Suomi,Hankasalmi,hankkeet.kirjastot.fi/node/2209,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,3500,1
33,42,Asiakaspäätteet käyttäjien tarpeisiin,Laitehankinnat,Varsinais-Suomi,Auran kirjasto,Lounais-Suomi,Aura,hankkeet.kirjastot.fi/node/595,2012,"Työttömät, Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,5800,1
34,44,Asiakaspalvelulaitteet ajan tasalle,Laitehankinnat,Päijät-Häme,Orimattilan kaupunginkirjasto,Etelä-Suomi,Orimattila,hankkeet.kirjastot.fi/node/980,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,6000,1
35,45,Asiakaspalvelun ja itsepalvelun perusta kuntoon,Palvelujen kehittäminen,Uusimaa,Karkkilan kaupunginkirjasto,Etelä-Suomi,Karkkila,hankkeet.kirjastot.fi/node/2012,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,8500,1
36,46,Asiakasrajapinnat ajan tasalle,Laitehankinnat,Kanta-Häme,Hattulan kunnankirjasto,Etelä-Suomi,Hattula,hankkeet.kirjastot.fi/node/2299,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,8000,1
37,47,Asiakastietokoneet ajan tasalle,Laitehankinnat,Varsinais-Suomi,Loimaan kaupunginkirjasto,Lounais-Suomi,Loimaa,hankkeet.kirjastot.fi/node/2399,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,7000,1
38,48,Asiakastietokoneet asianmukaisiksi,Laitehankinnat,Keski-Suomi,Kyyjärven kunnankirjasto,Länsi- ja Sisä-Suomi,Kyyjärvi,hankkeet.kirjastot.fi/node/1335,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,2000,1
39,49,Asiakastietokoneiden päivitys nykyaikaa vastaaviksi,Laitehankinnat,Etelä-Savo,Punkaharjun kirjasto,Itä-Suomi,Savonlinna,hankkeet.kirjastot.fi/node/245,2011,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,1900,1
40,50,Asiakkaat verkkoon,Laitehankinnat,Päijät-Häme,Padasjoen kunnankirjasto,Etelä-Suomi,Padasjoki,hankkeet.kirjastot.fi/node/536,2012,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,0,1
41,51,Asumisen ja elämisen teemahuone,Oppimisympäristö ja yhteisöllisyys,Uusimaa,Sipoon kunnankirjasto,Etelä-Suomi,Sipoo,hankkeet.kirjastot.fi/node/1560,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,8000,1
42,52,Audiomatkoja - lainattavien paikallistarinoiden audio-arkisto Sauvon kirjastoon,Palvelujen kehittäminen,Varsinais-Suomi,Sauvon kirjasto,Lounais-Suomi,Sauvo,hankkeet.kirjastot.fi/node/1322,2013,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnat,6000,1
43,54,Audiovisuaalisen sisällöntuotannon laajennusprojekti,Kokoelmat,Uusimaa,Vantaan kirjasto- ja tietopalvelut,Etelä-Suomi,Vantaa,hankkeet.kirjastot.fi/node/478,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,16000,1
44,56,Avoimella mielellä : runot tutuiksi lapsille ja ikäihmisille,Lukemisen edistäminen,Pohjois-Pohjanmaa,Lumijoen kirjasto Hiidenkivi,Pohjois-Suomi,Lumijoki,hankkeet.kirjastot.fi/node/2228,2014,"Lapset (alle 13 v.), Ikääntyneet",ELY,suomenkielinen,kunnat,2000,1
46,59,Avoimien ovien kirjasto,Laitehankinnat,Pohjois-Karjala,Tohmajärven kunnankirjasto,Itä-Suomi,Tohmajärvi,hankkeet.kirjastot.fi/node/704,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,4000,1
48,62,Avoin lähikirjasto Sastamalaan,Palvelujen kehittäminen,Pirkanmaa,Sastamalan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Sastamala,hankkeet.kirjastot.fi/node/2198,2014,"Kirjaston asiakkaat, Kirjaston ei-käyttäjät",ELY,suomenkielinen,kunnan- tai kaupunginosat	,20000,1
49,64,Barnens lördag,Henkilöstön osaaminen,Varsinais-Suomi,Pargas stadsbibliotek / Pargas bibliotek,Lounais-Suomi,Parainen,hankkeet.kirjastot.fi/node/2229,2014,"Lapsiperheet, Lapset (alle 13 v.)",ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,2500,1
50,66,Beckerin Perilliset II,Oppimisympäristö ja yhteisöllisyys,Etelä-Savo,Kangasniemen kunnankirjasto,Itä-Suomi,Kangasniemi,hankkeet.kirjastot.fi/node/314,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,15000,1
51,67,Bibban rules!,Palvelujen kehittäminen,Pohjanmaa,Pedersöre kommunbibliotek,Länsi- ja Sisä-Suomi,Pedersören kunta,hankkeet.kirjastot.fi/node/249,2012,Nuoret (13-19  v.),ELY,ruotsinkielinen,kunnat,17000,1
52,68,Biblioteket på kartan genom invånardelaktighet,Palvelujen kehittäminen,Varsinais-Suomi,Kimitoöns kommunbibliotek,Lounais-Suomi,Kemiönsaari,hankkeet.kirjastot.fi/node/1352,2013,Kirjaston asiakkaat,ELY,ruotsinkielinen,kunnat,2700,1
53,69,"Bibliotekets del av \Kulturstigen\"" i Kimitoöns kommun""",Palvelujen kehittäminen,Varsinais-Suomi,Kimitoöns kommunbibliotek,Lounais-Suomi,Kemiönsaari,hankkeet.kirjastot.fi/node/680,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,3000,1
54,71,Bibliotekstjänster för specialgrupper,Palvelujen kehittäminen,Keski-Pohjanmaa,Karleby stadsbibliotek-landskapsbibliotek,Länsi- ja Sisä-Suomi,Kokkola,hankkeet.kirjastot.fi/node/1879,2014,Erityisryhmät,ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,3500,1
55,72,Biisinikkareiden demobileet,Oppimisympäristö ja yhteisöllisyys,Lappi,Tornion kaupunginkirjasto,Lappi,Tornio,hankkeet.kirjastot.fi/node/62,2012,Nuoret (13-19  v.),ELY,suomenkielinen,kunnat,17500,1
56,73,"Bittivirrassa kirjastoon! Interaktiivinen tekniikka luo virtuaalisen kylän yhdistäen kirjaston,  koulun, päivä - ja seniorikodin",Oppimisympäristö ja yhteisöllisyys,Uusimaa,Espoon kaupunginkirjasto - Entressen kirjasto,Etelä-Suomi,Espoo,hankkeet.kirjastot.fi/node/506,2012,"Lapset (alle 13 v.), Ikääntyneet",ELY,suomenkielinen,kunnan- tai kaupunginosat	,15000,1
57,74,Bokkarneval ,Lukemisen edistäminen,Pohjanmaa,Larsmo kommunbibliotek,Länsi- ja Sisä-Suomi,Luoto,hankkeet.kirjastot.fi/node/1313,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,ruotsinkielinen,kunnat,3000,1
58,76,Boklust,Lukemisen edistäminen,Pohjanmaa,Korsnäs kommunbibliotek,Länsi- ja Sisä-Suomi,Korsnäs,hankkeet.kirjastot.fi/node/2346,2014,"Lapset (alle 13 v.), Nuoret (13-19  v.), Tietty ammattiryhmä (esim. opettajat)",ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,3500,1
59,80,Bokprat på finska ,Lukemisen edistäminen,Varsinais-Suomi,Pargas stadsbibliotek,Lounais-Suomi,Parainen,hankkeet.kirjastot.fi/node/1203,2013,Lapset (alle 13 v.),ELY,ruotsinkielinen,kunnat,1300,1
60,81,Bonusta passiin eli ahmitaan kirja kuukaudessa ja lopuksi mega-ateria,Lukemisen edistäminen,Kanta-Häme,Riihimäen kaupunginkirjasto,Etelä-Suomi,Riihimäki,hankkeet.kirjastot.fi/node/1323,2013,Nuoret (13-19  v.),ELY,suomenkielinen,kunnan- tai kaupunginosat	,0,1
61,82,Borgå Gymnasiumin museokirjaston ja Porneesin lainakirjaston aineistojen digitointi,Digitointi,Uusimaa,Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto,Etelä-Suomi,Porvoo,hankkeet.kirjastot.fi/node/320,2012,"Kirjaston asiakkaat, Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kansainvälinen	,35000,1
62,84,Borgå Gymnasiumin museokirjaston käsikirjoitusten digitoinnin jatko,Digitointi,Uusimaa,Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto,Etelä-Suomi,Porvoo,hankkeet.kirjastot.fi/node/2147,2014,"Kirjaston asiakkaat, Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kansainvälinen	,30000,1
63,86,"Borgå Gymnasiumin museokirjaston kirjojen,  karttojen ja käsikirjoitusten luetteloinnin jatko",Kokoelmat,Uusimaa,Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto,Etelä-Suomi,Porvoo,hankkeet.kirjastot.fi/node/1008,2013,"Kirjaston asiakkaat, Tietty ammattiryhmä (esim. opettajat)",ELY,suomenkielinen,kansainvälinen	,20000,1
65,88,Dataprojektorilla kerralla isommalle yleisölle,Laitehankinnat,Etelä-Pohjanmaa,Teuvan kunnankirjasto,Länsi- ja Sisä-Suomi,Teuva,hankkeet.kirjastot.fi/node/346,2012,"Kirjaston asiakkaat, Lapsiperheet, Kirjaston henkilökunta",ELY,suomenkielinen,kunnan- tai kaupunginosat	,1500,1
66,91,Datorer för sökning i bibliotekskatalogen,Laitehankinnat,Varsinais-Suomi,Kimitoöns kommunbibliotek,Lounais-Suomi,Kemiönsaari,hankkeet.kirjastot.fi/node/519,2012,Kirjaston asiakkaat,ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,2400,1
67,92,Dekkarimaanantain ja Kaunokeskiviikon kirjailijavieraat,Lukemisen edistäminen,Pohjanmaa,Vaasan kaupunginkirjasto - maakuntakirjasto,Länsi- ja Sisä-Suomi,Vaasa,hankkeet.kirjastot.fi/node/829,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,3000,1
68,93,Den klassiska sagan har någonting att säga dig,Lukemisen edistäminen,Uusimaa,Hangon kaupunginkirjasto - Hangö stadsbibliotek,Etelä-Suomi,Hanko,hankkeet.kirjastot.fi/node/1483,2013,"Lapsiperheet, Lapset (alle 13 v.), Nuoret (13-19  v.)",ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,10000,1
69,96,Digi-Imatra,Palvelujen kehittäminen,Etelä-Karjala,Imatran kaupunginkirjasto,Etelä-Suomi,Imatra,hankkeet.kirjastot.fi/node/2363,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,12000,1
70,98,DigiCarelica,Digitointi,Etelä-Karjala,Lappeenrannan maakuntakirjasto,Etelä-Suomi,Lappeenranta,hankkeet.kirjastot.fi/node/991,2013,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,30000,1
71,99,Digiosaamista kaikille,Digitointi,Etelä-Savo,Savonlinnan kaupunginkirjasto,Itä-Suomi,Savonlinna,hankkeet.kirjastot.fi/node/1917,2014,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,30000,1
72,101,DigIT Nykarleby,Verkkopalvelut,Pohjanmaa,Nykarleby stadsbibliotek,Länsi- ja Sisä-Suomi,Uusikaarlepyy,hankkeet.kirjastot.fi/node/1394,2013,Kirjaston asiakkaat,ELY,ruotsinkielinen,valtakunnallinen	,15000,1
73,102,Digitaalista lukutaitoa edistämään ,Mediakasvatus,Varsinais-Suomi,Kaarinan kaupunginkirjasto,Lounais-Suomi,Kaarina,hankkeet.kirjastot.fi/node/984,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,20000,1
74,103,Digitalisering i biblioteket,Digitointi,Pohjanmaa,Kronoby kommunbibliotek,Länsi- ja Sisä-Suomi,Kruunupyy,hankkeet.kirjastot.fi/node/1199,2013,Kirjaston asiakkaat,ELY,ruotsinkielinen,kunnan- tai kaupunginosat	,5000,1
75,104,"Digitilat käyttöön, esitykset kuntoon",Laitehankinnat,Etelä-Pohjanmaa,Kuortaneen kunnankirjasto,Länsi- ja Sisä-Suomi,Kuortane,hankkeet.kirjastot.fi/node/1034,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4000,1
76,105,Digitoi aarteesi!,Laitehankinnat,Satakunta,Porin kaupunginkirjasto - Satakunnan maakuntakirjasto,Lounais-Suomi,Pori,hankkeet.kirjastot.fi/node/747,2012,Kirjaston asiakkaat,ELY,suomenkielinen,maakunta	,4500,1
77,106,"Digitoinnista iloa asiakkaille, hyötyä kotiseutukokoelmaan",Digitointi,Etelä-Savo,Mäntyharjun kunnankirjasto,Itä-Suomi,Mäntyharju,hankkeet.kirjastot.fi/node/335,2012,Kirjaston asiakkaat,ELY,suomenkielinen,seutukunnat	,5000,1
78,107,Digitointi kirjaston uutena palveluna Huittisissa,Digitointi,Satakunta,Huittisten kaupunginkirjasto,Lounais-Suomi,Huittinen,hankkeet.kirjastot.fi/node/754,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnan- tai kaupunginosat	,4500,1
79,109,Digitointi- ja editointimahdollisuus Pälkäneen pääkirjastossa,Henkilöstön osaaminen,Pirkanmaa,Pälkäneen kunnankirjasto,Länsi- ja Sisä-Suomi,Pälkäne,hankkeet.kirjastot.fi/node/268,2012,Kirjaston henkilökunta,ELY,suomenkielinen,kunnat,5000,1
80,110,Digitointihuone ja liikkuva digitointipiste kirjaston asiakkaille,Digitointi,Uusimaa,Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto,Etelä-Suomi,Porvoo,hankkeet.kirjastot.fi/node/1431,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,4400,1
81,112,Digitointihuone Rauman pääkirjastoon,Laitehankinnat,Satakunta,Rauman kaupunginkirjasto,Lounais-Suomi,Rauma,hankkeet.kirjastot.fi/node/927,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,4000,1
82,113,Digitointikeskus asiakaspalvelua laajentamaan,Laitehankinnat,Lappi,Kolarin kunnankirjasto,Lappi,Kolari,hankkeet.kirjastot.fi/node/2032,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,15500,1
83,114,Digitointilaitteet uuteen pääkirjastoon,Laitehankinnat,Pirkanmaa,Kangasalan kunnankirjasto,Länsi- ja Sisä-Suomi,Kangasala,hankkeet.kirjastot.fi/node/764,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
84,115,Digitointilaitteet Ylä-Savon kirjastoihin,Laitehankinnat,Pohjois-Savo,Iisalmen kaupunginkirjasto,Itä-Suomi,Iisalmi,hankkeet.kirjastot.fi/node/785,2013,"Kirjaston henkilökunta, Kirjaston asiakkaat",ELY,suomenkielinen,seutukunnat	,9000,1
85,117,Digitointilaitteisto kirjastoon,Laitehankinnat,Etelä-Pohjanmaa,Teuvan kunnankirjasto,Länsi- ja Sisä-Suomi,Teuva,hankkeet.kirjastot.fi/node/1242,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,3000,1
86,118,Digitointilan perustaminen,Digitointi,Pohjois-Savo,Nilsiän kirjasto,Itä-Suomi,Kuopio,hankkeet.kirjastot.fi/node/572,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,maakunta	,3500,1
87,120,Digitointipaja,Laitehankinnat,Pohjois-Karjala,Kiteen kaupunginkirjasto,Itä-Suomi,Kitee,hankkeet.kirjastot.fi/node/2420,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
88,121,Digitointipiste uudistettuun kirjastoon,Laitehankinnat,Varsinais-Suomi,Tarvasjoen kirjasto,Lounais-Suomi,Tarvasjoki,hankkeet.kirjastot.fi/node/1994,2014,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,800,1
89,122,Digittääkö? - analogiset tallenteet sähköiseen muotoon,Laitehankinnat,Päijät-Häme,Hartolan kunnankirjasto,Etelä-Suomi,Hartola,hankkeet.kirjastot.fi/node/1234,2013,Kirjaston asiakkaat,ELY,suomenkielinen,kunnan- tai kaupunginosat	,2800,1
90,123,Draivia rattaille - kirjastoautotoiminnan kehittäminen,Palvelujen kehittäminen,Pohjois-Pohjanmaa,Muhoksen kunnankirjasto,Pohjois-Suomi,Muhos,hankkeet.kirjastot.fi/node/1575,2013,"Maahanmuuttajat, Sidosryhmät, Kirjaston ei-käyttäjät, Kirjaston asiakkaat",ELY,suomenkielinen,kunnat,19000,1
91,127,E-aineiston tarjontamahdollisuus pienessä maaseutukirjastossa,Kokoelmat,Keski-Suomi,Luhangan kunnankirjasto,Länsi- ja Sisä-Suomi,Luhanka,hankkeet.kirjastot.fi/node/307,2012,"Nuoret (13-19  v.), Kirjaston henkilökunta",ELY,suomenkielinen,seutukunnat	,0,1
92,129,E-kirjan lukulaite,Laitehankinnat,Etelä-Pohjanmaa,Karijoen kunnankirjasto,Länsi- ja Sisä-Suomi,Karijoki,hankkeet.kirjastot.fi/node/636,2012,"Kirjaston asiakkaat, Kirjaston henkilökunta",ELY,suomenkielinen,kunnat,0,1
93,131,"E-nälli - tiedä, taida verkossa",Laitehankinnat,Etelä-Pohjanmaa,Kurikan kaupunginkirjasto,Länsi- ja Sisä-Suomi,Kurikka,hankkeet.kirjastot.fi/node/568,2012,"Lapset (alle 13 v.), Nuoret (13-19  v.), Ikääntyneet",ELY,suomenkielinen,kunnat,10000,1
94,132,Editointiprojekti Lukas-alueen kirjastoissa,Digitointi,Uusimaa,Hangon kaupunginkirjasto - Hangö stadsbibliotek,Etelä-Suomi,Hanko,hankkeet.kirjastot.fi/node/866,2012,"Kirjaston henkilökunta, Kirjaston asiakkaat",ELY,suomenkielinen,maakunta	,21000,1
95,134,Editointitila ja kiertävät laitteet,Digitointi,Kanta-Häme,Forssan kaupunginkirjasto,Etelä-Suomi,Forssa,hankkeet.kirjastot.fi/node/292,2012,Kirjaston asiakkaat,ELY,suomenkielinen,kunnat,5000,1
96,135,Ei kultainen nuoruus jää unholaan,Palvelujen kehittäminen,Varsinais-Suomi,Uudenkaupungin kaupunginkirjasto,Lounais-Suomi,Uusikaupunki,hankkeet.kirjastot.fi/node/1803,2014,Ikääntyneet,ELY,suomenkielinen,kunnan- tai kaupunginosat	,6000,1
